City_ID,City,Lat,Lng,Max Temp C,Humidity,Cloudiness,Wind Speed,Country,Date
304,HARSTAD,68.799,16.5293,12.11,71,100,5.36,NO,1695937549
305,TRONDHEIM,63.4305,10.3951,16.03,81,100,0.27,NO,1695937549
306,SVETLYY,54.675,20.1347,17.03,59,66,4.07,RU,1695937549
307,NAMIBE,-15.1961,12.1522,19.93,85,95,3.89,AO,1695937550
308,SHIBATA,37.95,139.3333,20.67,87,71,1.76,JP,1695937550
309,STAVERN,59.0,10.0333,15.66,93,100,8.33,NO,1695937550
310,SANTA COLOMA DE FARNERS,41.8667,2.6667,21.95,88,0,0.0,ES,1695937551
311,HENGCHUN,22.0042,120.7439,27.44,75,0,2.55,TW,1695937551
312,OUARZAZAT,30.9189,-6.8934,29.16,16,0,2.57,MA,1695937551
313,UST-NERA,64.5667,143.2,2.68,98,99,3.11,RU,1695937552
314,LA'IE,21.6477,-157.9253,30.98,68,0,2.24,US,1695937552
315,MALVAN,16.0667,73.4667,25.67,91,92,5.72,IN,1695937552
316,BETIO VILLAGE,1.358,172.9211,25.02,83,100,6.96,KI,1695937553
317,SALEKHARD,66.53,66.6019,0.2,82,100,5.55,RU,1695937553
318,PLETTENBERG BAY,-34.0527,23.3716,16.33,73,0,1.48,ZA,1695937554
319,SAN PEDRO POCHUTLA,15.7333,-96.4667,33.84,64,61,3.08,MX,1695937554
320,HURGHADA,27.2574,33.8129,34.02,10,0,4.12,EG,1695937554
321,KAPA'A,22.0752,-159.319,28.99,67,20,5.66,US,1695937341
322,KAPUSKASING,49.4169,-82.4331,21.05,32,0,3.6,CA,1695937555
323,SHUSHTAR,32.0455,48.8567,30.97,18,0,1.14,IR,1695937555
324,ZEYA,53.75,127.2667,6.06,84,88,2.54,RU,1695937556
325,RADUZHNY,62.0961,77.475,6.7,97,97,2.88,RU,1695937556
326,DALNERECHENSK,45.9339,133.7225,9.96,90,4,2.46,RU,1695937557
327,UJAE,8.9322,165.7642,28.91,77,100,4.93,MH,1695937557
328,MARTAPURA,-3.4167,114.85,22.05,88,62,0.0,ID,1695937558
329,MPOPHOMENI,-29.5682,30.1862,11.23,96,75,1.31,ZA,1695937558
330,USOGORSK,63.4106,48.6872,9.4,96,100,2.84,RU,1695937559
